doctor_id,approved,city,date_of_birth,dependant_stand_by,full_name,doctor_gender,graduation_date,is_student,marital_status,mdcn_certificate_number,name_of_university,national_identification_number,office_address,reference_doctor_email,reference_doctor_full_name,reference_doctor_phone_number,state,student_number,system_status,title
108,Yes,Lagos,4/18/1969,0,ANN HENGKY,Male,1/22/2009,No,Married,30472,Caleb University- Lagos,4074804,896-4316 Tempus Rd.,annhengky@gmail.com,ANN HENGKY,17279120,Lagos,6693,good,Mr.
109,Yes,Lagos,10/19/1966,1,GARDY SHASHA,Male,6/22/2016,No,Single,39887,Lagos State University of Science and Technology (LASUSTECH),3199053,967-2326 Orci Rd.,gardyshasha@gmail.com,GARDY SHASHA,50368894,Lagos,3326,excellent,Mr.
110,Yes,Lagos,2/20/1992,0,ADORA NEKIA,Female,6/23/2018,Yes,Married,47685,Caleb University- Lagos,3329085,351-6015 Metus Rd.,adoranekia@gmail.com,ADORA NEKIA,45649386,Lagos,2891,good,Ms.
111,Yes,Lagos,12/12/1988,1,ANNABELLA HENNESSEY,Female,10/2/2019,Yes,Married,34588,National Open University of Nigeria- Lagos,4921722,"Ap #635-6634 Pede, Av.",annabellahennessey@gmail.com,ANNABELLA HENNESSEY,66843881,Lagos,2774,good,Ms.
112,Yes,Lagos,8/1/1982,1,GARETH SHASHWAT,Male,9/21/2014,Yes,Single,22845,Pan-Atlantic University-Lagos,2410818,1677 Enim Rd.,garethshashwat@gmail.com,GARETH SHASHWAT,20826015,Lagos,3896,excellent,Mr.
113,Yes,Lagos,12/17/1984,2,ADREAN NEKO,Female,11/17/2015,Yes,Married,47550,James Hope University- Lagos,1966774,"P.O. Box 935, 7661 Morbi Street",adreanneko@gmail.com,ADREAN NEKO,86183683,Lagos,4325,excellent,Ms.
114,Yes,Lagos,2/13/1996,1,ANNA-KAY HENNY,Female,2/21/2006,Yes,Single,31886,Caleb University- Lagos,3976829,569-7960 Integer Ave,anna-kayhenny@gmail.com,ANNA-KAY HENNY,70883620,Lagos,2274,fair,Ms.
115,Yes,Lagos,1/22/1975,0,GARGI SHATARA,Female,2/19/2014,Yes,Single,82441,Caleb University- Lagos,4682323,615-5113 Cum St.,gargishatara@gmail.com,GARGI SHATARA,65516213,Lagos,3066,fair,Ms.
116,Yes,Lagos,2/19/1962,1,ADRI NELANI,Male,4/3/2008,No,Single,52204,Caleb University- Lagos,4292933,618-3434 Sagittis Av.,adrinelani@gmail.com,ADRI NELANI,86604319,Lagos,4657,excellent,Mr.
117,Yes,Lagos,11/18/1966,2,ANNA-LENA HENRIETTA,Male,6/17/2016,Yes,Single,46643,Lagos State University of Science and Technology (LASUSTECH),4839284,405-9892 Ultrices Rd.,anna-lenahenrietta@gmail.com,ANNA-LENA HENRIETTA,59764128,Lagos,6092,excellent,Mr.
118,Yes,Lagos,6/2/1994,1,GARNER SHATEEK,Male,6/3/2017,No,Single,24877,University of Lagos,3598726,Ap #561-9293 Sociis St.,garnershateek@gmail.com,GARNER SHATEEK,16110258,Lagos,5621,good,Mr.
119,Yes,Lagos,8/18/1968,1,ADRIANA NELI,Male,8/30/2013,No,Single,79009,University of Lagos,1166638,"Ap #381-3175 Sed, Street",adriananeli@gmail.com,ADRIANA NELI,86675567,Lagos,5815,fair,Mr.
120,Yes,Lagos,8/23/1972,1,ANNA-LISA HENRIQUE,Female,6/5/2019,Yes,Married,62899,University of Lagos,3826932,"Ap #230-5566 Amet, St.",anna-lisahenrique@gmail.com,ANNA-LISA HENRIQUE,39183958,Lagos,6805,good,Ms.
121,Yes,Lagos,7/18/1995,1,GARNETTE SHATERA,Female,4/3/2019,Yes,Single,79168,Pan-Atlantic University-Lagos,4798787,"P.O. Box 967, 4885 Nunc Avenue",garnetteshatera@gmail.com,GARNETTE SHATERA,87373800,Lagos,5314,good,Ms.
122,Yes,Lagos,7/30/1988,2,ADRIANNA NELINI,Male,3/22/2008,No,Married,45276,National Open University of Nigeria- Lagos,2793297,Ap #208-168 Lorem. Rd.,adriannanelini@gmail.com,ADRIANNA NELINI,33350840,Lagos,4001,very good,Mr.
123,Yes,Lagos,11/8/1981,1,ANNAMAE HENY,Male,8/29/2014,Yes,Married,76488,James Hope University- Lagos,1145912,"P.O. Box 181, 833 Pede. Ave",annamaeheny@gmail.com,ANNAMAE HENY,43900400,Lagos,4255,good,Mr.
124,Yes,Lagos,3/4/1971,2,GARRETH SHATIK,Female,12/29/2021,No,Married,52047,Lagos State University of Science and Technology (LASUSTECH),1094279,Ap #131-8580 Morbi Avenue,garrethshatik@gmail.com,GARRETH SHATIK,43781698,Lagos,5009,very good,Ms.
125,Yes,Lagos,1/23/1965,2,ADRIATIK NELL,Male,10/22/2007,No,Single,47621,Lagos State University of Science and Technology (LASUSTECH),1725855,"P.O. Box 564, 3418 Hendrerit Road",adriatiknell@gmail.com,ADRIATIK NELL,65597998,Lagos,6724,good,Mr.
126,Yes,Lagos,6/25/1991,0,ANNAMARIE HERA,Female,4/2/2012,Yes,Married,44214,James Hope University- Lagos,4415244,Ap #563-7565 Eu Rd.,annamariehera@gmail.com,ANNAMARIE HERA,61115400,Lagos,4466,good,Ms.
127,Yes,Lagos,1/30/1973,2,GARRICK SHATISHA,Female,4/1/2019,Yes,Single,62629,James Hope University- Lagos,4318935,Ap #600-9268 Aliquam St.,garrickshatisha@gmail.com,GARRICK SHATISHA,78712999,Lagos,3878,very good,Ms.
128,Yes,Lagos,9/25/1989,1,ADRIELLE NELLI,Female,5/26/2005,No,Married,74139,Pan-Atlantic University-Lagos,1686541,Ap #592-270 Commodo St.,adriellenelli@gmail.com,ADRIELLE NELLI,23394938,Lagos,6275,good,Ms.
129,Yes,Lagos,3/20/1978,0,ANNASTASIA HERARD,Female,1/31/2005,No,Single,79193,Lagos State University of Science and Technology (LASUSTECH),4636547,"Ap #998-3606 Placerat, Avenue",annastasiaherard@gmail.com,ANNASTASIA HERARD,56994403,Lagos,3669,very good,Ms.
130,Yes,Lagos,2/13/1979,1,GARRY SHAUGHN,Male,3/12/2006,Yes,Single,42604,Pan-Atlantic University-Lagos,3139598,Ap #382-1771 Dictum Road,garryshaughn@gmail.com,GARRY SHAUGHN,68312336,Lagos,3553,good,Mr.
131,Yes,Lagos,2/18/1987,0,ADRIENE NELLY,Female,5/19/2006,Yes,Single,48477,University of Lagos,1556697,644-2340 Mauris Street,adrienenelly@gmail.com,ADRIENE NELLY,86776375,Lagos,4522,good,Ms.
132,Yes,Lagos,3/27/1981,0,ANNE HERBIE,Female,11/28/2018,Yes,Married,63061,University of Lagos,1887876,Ap #833-7887 Pede. St.,anneherbie@gmail.com,ANNE HERBIE,4305481,Lagos,2268,fair,Ms.
133,Yes,Lagos,11/4/1995,1,GARVENS SHAUNA,Female,3/19/2020,Yes,Single,63271,University of Lagos,3547807,997-4237 Ullamcorper. Rd.,garvensshauna@gmail.com,GARVENS SHAUNA,52415536,Lagos,2159,good,Ms.
134,Yes,Lagos,3/7/1970,0,ADRION NELSI,Male,12/19/2016,No,Single,69816,Lagos State University of Science and Technology (LASUSTECH),1890239,Ap #819-8703 Egestas. St.,adrionnelsi@gmail.com,ADRION NELSI,90799181,Lagos,4012,good,Mr.
135,Yes,Lagos,2/12/1978,2,ANNEKE HERI,Male,9/26/2008,No,Married,42942,Caleb University- Lagos,1128833,"Ap #117-3802 A, Av.",annekeheri@gmail.com,ANNEKE HERI,74073023,Lagos,5538,good,Mr.
136,Yes,Lagos,11/23/1989,0,GARY SHAUNDA,Female,6/11/2017,No,Single,71993,Pan-Atlantic University-Lagos,2961519,Ap #130-5959 Fusce St.,garyshaunda@gmail.com,GARY SHAUNDA,10908921,Lagos,5605,good,Ms.
137,Yes,Lagos,8/20/1970,2,ADUNNI NELSY,Female,12/4/2011,No,Single,68257,Lagos State University of Science and Technology (LASUSTECH),1930418,618-3434 Sagittis Av.,adunninelsy@gmail.com,ADUNNI NELSY,30951914,Lagos,5458,very good,Ms.
138,Yes,Lagos,2/19/1987,0,ANNELI HERMAN,Female,11/26/2007,Yes,Single,43463,Pan-Atlantic University-Lagos,3544991,405-9892 Ultrices Rd.,anneliherman@gmail.com,ANNELI HERMAN,11562480,Lagos,3725,very good,Ms.
139,Yes,Lagos,3/28/1988,0,GASPARE SHAUNDRA,Female,8/17/2018,No,Married,65911,Lagos State University of Science and Technology (LASUSTECH),3131979,Ap #561-9293 Sociis St.,gaspareshaundra@gmail.com,GASPARE SHAUNDRA,42159041,Lagos,4061,good,Ms.
140,Yes,Lagos,12/31/1996,1,ADY NEMA,Male,10/22/2011,No,Single,25054,Pan-Atlantic University-Lagos,4945585,"Ap #381-3175 Sed, Street",adynema@gmail.com,ADY NEMA,48634308,Lagos,3057,fair,Mr.
141,Yes,Lagos,2/23/1994,0,ANNELISE HERMES,Male,6/29/2020,No,Married,51248,Pan-Atlantic University-Lagos,3259560,"Ap #230-5566 Amet, St.",annelisehermes@gmail.com,ANNELISE HERMES,59482204,Lagos,2612,good,Mr.
142,Yes,Lagos,5/15/1979,2,GATA SHAUNELL,Male,4/27/2005,No,Single,71140,James Hope University- Lagos,3390883,"P.O. Box 967, 4885 Nunc Avenue",gatashaunell@gmail.com,GATA SHAUNELL,58763169,Lagos,4082,good,Mr.
143,Yes,Lagos,4/27/1984,1,AEISHA NENA,Male,4/15/2013,No,Single,52377,National Open University of Nigeria- Lagos,2885288,Ap #266-429 Velit St.,aeishanena@gmail.com,AEISHA NENA,5338115,Lagos,2688,very good,Mr.
144,Yes,Lagos,12/24/1968,1,ANNEMARIE HERMINIO,Male,9/1/2014,Yes,Married,56372,National Open University of Nigeria- Lagos,3833754,315-4283 Nam Street,annemarieherminio@gmail.com,ANNEMARIE HERMINIO,20603493,Lagos,1947,good,Mr.
145,Yes,Lagos,8/23/1971,2,GATO SHAUNETTE,Female,10/25/2021,Yes,Single,37847,Caleb University- Lagos,3530688,921-1491 Nonummy Ave,gatoshaunette@gmail.com,GATO SHAUNETTE,65699224,Lagos,5432,fair,Ms.
146,Yes,Lagos,12/23/1978,2,AESHA NENETTE,Male,9/2/2020,No,Married,56036,National Open University of Nigeria- Lagos,2645632,Ap #299-4324 Mauris Avenue,aeshanenette@gmail.com,AESHA NENETTE,22645585,Lagos,3523,excellent,Mr.
147,Yes,Lagos,2/27/1967,0,ANNEMIEKE HERNANDEZ,Male,11/2/2021,No,Married,33307,National Open University of Nigeria- Lagos,1827764,"P.O. Box 913, 6976 Magnis Rd.",annemiekehernandez@gmail.com,ANNEMIEKE HERNANDEZ,68589158,Lagos,4441,excellent,Mr.
148,Yes,Lagos,12/30/1983,2,GAURAV SHAUNTA,Male,3/23/2021,No,Single,31435,Lagos State University of Science and Technology (LASUSTECH),2277213,6676 Tristique Street,gauravshaunta@gmail.com,GAURAV SHAUNTA,72491643,Lagos,5335,fair,Mr.
149,Yes,Lagos,3/5/1962,0,AFEISHA NEO,Male,9/27/2020,No,Married,47397,National Open University of Nigeria- Lagos,2324273,896-4316 Tempus Rd.,afeishaneo@gmail.com,AFEISHA NEO,93360285,Lagos,4332,good,Mr.
150,Yes,Lagos,2/15/1991,1,ANNE-SOPHIE HERO,Male,3/22/2018,No,Married,22895,National Open University of Nigeria- Lagos,3560851,967-2326 Orci Rd.,anne-sophiehero@gmail.com,ANNE-SOPHIE HERO,28178770,Lagos,3083,good,Mr.
151,Yes,Lagos,7/23/1973,0,GAUTHAM SHAUNTE,Female,8/31/2021,Yes,Married,68277,Caleb University- Lagos,4863317,351-6015 Metus Rd.,gauthamshaunte@gmail.com,GAUTHAM SHAUNTE,44015792,Lagos,3754,fair,Ms.
152,Yes,Lagos,1/27/1980,2,AFIA NEPHI,Female,3/13/2021,Yes,Single,67617,Lagos State University of Science and Technology (LASUSTECH),2096928,"Ap #635-6634 Pede, Av.",afianephi@gmail.com,AFIA NEPHI,70717230,Lagos,3971,fair,Ms.
153,Yes,Lagos,7/3/1962,2,ANNETTE HERRY,Female,11/10/2010,Yes,Married,62739,University of Lagos,4061582,1677 Enim Rd.,annetteherry@gmail.com,ANNETTE HERRY,4365612,Lagos,4465,very good,Ms.
154,Yes,Lagos,8/11/1966,2,GAVO SHAUNTELL,Female,2/27/2020,No,Married,31611,University of Lagos,1473055,"P.O. Box 935, 7661 Morbi Street",gavoshauntell@gmail.com,GAVO SHAUNTELL,77863537,Lagos,2048,very good,Ms.
155,Yes,Lagos,2/1/1986,1,AFONSO NEREYDA,Male,10/14/2009,Yes,Married,36228,Caleb University- Lagos,1064445,569-7960 Integer Ave,afonsonereyda@gmail.com,AFONSO NEREYDA,19771210,Lagos,6524,good,Mr.
156,Yes,Lagos,8/22/1991,1,ANNICA HERSHEL,Male,12/25/2013,No,Single,62325,National Open University of Nigeria- Lagos,1840603,615-5113 Cum St.,annicahershel@gmail.com,ANNICA HERSHEL,14902609,Lagos,4297,good,Mr.
157,Yes,Lagos,5/31/1996,1,GAY SHAVA,Male,3/19/2020,No,Married,42716,National Open University of Nigeria- Lagos,3317784,618-3434 Sagittis Av.,gayshava@gmail.com,GAY SHAVA,81048258,Lagos,3580,good,Mr.
158,Yes,Lagos,6/10/1965,2,AFRIKAN NERISSA,Male,9/5/2019,Yes,Single,25301,University of Lagos,1464747,405-9892 Ultrices Rd.,afrikannerissa@gmail.com,AFRIKAN NERISSA,13733048,Lagos,2189,excellent,Mr.
159,Yes,Lagos,10/29/1967,2,ANNIKA HERSON,Female,2/23/2013,Yes,Single,49015,University of Lagos,2348995,Ap #561-9293 Sociis St.,annikaherson@gmail.com,ANNIKA HERSON,52020872,Lagos,5586,excellent,Ms.
160,Yes,Lagos,12/17/1993,0,GAYATRI SHAVAUGHN,Male,2/17/2013,Yes,Single,22767,James Hope University- Lagos,3501251,"Ap #381-3175 Sed, Street",gayatrishavaughn@gmail.com,GAYATRI SHAVAUGHN,5831106,Lagos,4608,excellent,Mr.
161,Yes,Lagos,7/20/1989,0,AFRON NERO,Male,6/8/2012,Yes,Single,31946,James Hope University- Lagos,4984134,"Ap #230-5566 Amet, St.",afronnero@gmail.com,AFRON NERO,67324399,Lagos,4979,fair,Mr.
162,Yes,Lagos,2/14/1980,2,ANNISIA HERU,Male,10/10/2020,Yes,Married,59708,Lagos State University of Science and Technology (LASUSTECH),4084956,"P.O. Box 967, 4885 Nunc Avenue",annisiaheru@gmail.com,ANNISIA HERU,45579237,Lagos,2729,good,Mr.
163,Yes,Lagos,9/6/1982,0,GAYLORD SHAVON,Male,10/1/2012,Yes,Single,69058,National Open University of Nigeria- Lagos,2364682,Ap #266-429 Velit St.,gaylordshavon@gmail.com,GAYLORD SHAVON,7921976,Lagos,3794,good,Mr.
164,Yes,Lagos,9/5/1988,2,AFSER NERY,Female,4/15/2020,No,Married,36179,Caleb University- Lagos,3596373,315-4283 Nam Street,afsernery@gmail.com,AFSER NERY,85165885,Lagos,5817,good,Ms.
165,Yes,Lagos,1/18/1964,0,ANN-MARIE HERY,Male,6/6/2008,No,Married,44214,University of Lagos,1308526,921-1491 Nonummy Ave,ann-mariehery@gmail.com,ANN-MARIE HERY,69466412,Lagos,3194,fair,Mr.
166,Yes,Lagos,7/8/1990,0,GAZA SHAVONNE,Male,6/14/2021,No,Single,32251,Caleb University- Lagos,1783786,Ap #299-4324 Mauris Avenue,gazashavonne@gmail.com,GAZA SHAVONNE,45681924,Lagos,2441,excellent,Mr.
167,Yes,Lagos,12/10/1963,2,AFSHIN NESHA,Female,8/19/2019,Yes,Married,28066,Pan-Atlantic University-Lagos,3882266,"P.O. Box 913, 6976 Magnis Rd.",afshinnesha@gmail.com,AFSHIN NESHA,36533985,Lagos,4264,good,Ms.
168,Yes,Lagos,8/13/1982,0,ANOOP HESKY,Female,10/2/2014,Yes,Single,37935,National Open University of Nigeria- Lagos,4851883,6676 Tristique Street,anoophesky@gmail.com,ANOOP HESKY,61332785,Lagos,5975,good,Ms.
169,Yes,Lagos,12/3/1985,0,GAZMIR SHAWANDA,Male,8/23/2010,Yes,Single,34998,University of Lagos,3403524,896-4316 Tempus Rd.,gazmirshawanda@gmail.com,GAZMIR SHAWANDA,38511408,Lagos,5046,good,Mr.
170,Yes,Lagos,11/17/1964,2,AFZAL NESRIN,Male,7/4/2008,No,Single,80172,Lagos State University of Science and Technology (LASUSTECH),2663479,967-2326 Orci Rd.,afzalnesrin@gmail.com,AFZAL NESRIN,46753424,Lagos,2637,excellent,Mr.
171,Yes,Lagos,3/2/1963,1,ANOUCK HEZEKIAH,Female,7/17/2007,Yes,Married,33712,National Open University of Nigeria- Lagos,2708344,351-6015 Metus Rd.,anouckhezekiah@gmail.com,ANOUCK HEZEKIAH,64570657,Lagos,2842,good,Ms.
172,Yes,Lagos,7/26/1988,0,GE SHAWNA,Female,8/7/2016,No,Married,77082,Caleb University- Lagos,2300277,"Ap #635-6634 Pede, Av.",geshawna@gmail.com,GE SHAWNA,53107375,Lagos,2496,good,Ms.
173,Yes,Lagos,7/6/1988,2,AGAM NESSIE,Male,2/24/2016,Yes,Married,69987,James Hope University- Lagos,2004827,1677 Enim Rd.,agamnessie@gmail.com,AGAM NESSIE,15006841,Lagos,2462,very good,Mr.
174,Yes,Lagos,9/8/1988,2,ANOWAR HIBA,Male,5/28/2008,No,Single,66267,University of Lagos,4163377,"P.O. Box 935, 7661 Morbi Street",anowarhiba@gmail.com,ANOWAR HIBA,21660048,Lagos,5500,good,Mr.
175,Yes,Lagos,4/3/1965,2,GEANINE SHAWNDA,Female,7/18/2018,Yes,Married,49379,National Open University of Nigeria- Lagos,2037119,569-7960 Integer Ave,geanineshawnda@gmail.com,GEANINE SHAWNDA,35153934,Lagos,6070,good,Ms.
176,Yes,Lagos,7/14/1973,1,AGATHA NET,Female,12/25/2018,Yes,Single,27569,University of Lagos,2690731,615-5113 Cum St.,agathanet@gmail.com,AGATHA NET,68452462,Lagos,3171,good,Ms.
177,Yes,Lagos,7/10/1972,1,ANSAR HIDALGO,Male,7/16/2006,Yes,Married,64919,University of Lagos,2782574,618-3434 Sagittis Av.,ansarhidalgo@gmail.com,ANSAR HIDALGO,18111545,Lagos,5577,very good,Mr.
178,Yes,Lagos,1/15/1992,1,GEDDES SHAWNEEN,Female,11/30/2016,No,Married,43795,James Hope University- Lagos,2479950,405-9892 Ultrices Rd.,geddesshawneen@gmail.com,GEDDES SHAWNEEN,24428918,Lagos,6364,fair,Ms.
179,Yes,Lagos,12/27/1994,2,AGGREY NETFA,Male,10/19/2012,No,Married,66968,University of Lagos,4203651,Ap #561-9293 Sociis St.,aggreynetfa@gmail.com,AGGREY NETFA,77892258,Lagos,5025,excellent,Mr.
180,No,Lagos,5/27/1977,2,ANSELM HIDEOUT,Male,2/17/2016,No,Married,42508,University of Lagos,3123957,"Ap #381-3175 Sed, Street",anselmhideout@gmail.com,ANSELM HIDEOUT,61417257,Lagos,3080,good,Mr.
181,No,Lagos,10/4/1975,2,GEENA SHAWNETTE,Female,10/28/2021,No,Single,71550,National Open University of Nigeria- Lagos,2478775,"Ap #230-5566 Amet, St.",geenashawnette@gmail.com,GEENA SHAWNETTE,5398763,Lagos,1546,good,Ms.
182,No,Lagos,8/23/1987,0,AGNE NEUMAN,Male,10/12/2011,Yes,Single,31704,University of Lagos,1752766,"P.O. Box 967, 4885 Nunc Avenue",agneneuman@gmail.com,AGNE NEUMAN,54979846,Lagos,5104,good,Mr.
183,No,Lagos,7/25/1971,1,ANSHU HIEU,Male,12/18/2010,No,Single,50336,Lagos State University of Science and Technology (LASUSTECH),1343732,Ap #208-168 Lorem. Rd.,anshuhieu@gmail.com,ANSHU HIEU,31422931,Lagos,3669,excellent,Mr.
184,No,Lagos,3/23/1971,0,GEETHA SHAWNTA,Male,4/23/2014,Yes,Single,43330,James Hope University- Lagos,4689635,"P.O. Box 181, 833 Pede. Ave",geethashawnta@gmail.com,GEETHA SHAWNTA,58285526,Lagos,3375,excellent,Mr.
185,No,Lagos,1/22/1993,2,AGNÃƒË†S NEVA,Female,3/27/2010,No,Single,25955,Caleb University- Lagos,2094334,Ap #131-8580 Morbi Avenue,agnãƒë†sneva@gmail.com,AGNÃƒË†S NEVA,33368724,Lagos,3631,fair,Ms.
186,No,Lagos,2/23/1966,0,ANSIL HIJIRI,Female,7/17/2012,No,Single,52598,James Hope University- Lagos,1710604,"P.O. Box 564, 3418 Hendrerit Road",ansilhijiri@gmail.com,ANSIL HIJIRI,18871839,Lagos,2766,good,Ms.
187,No,Lagos,9/1/1991,0,GEGE SHAWNTE,Male,4/1/2009,Yes,Married,50883,Lagos State University of Science and Technology (LASUSTECH),3785793,Ap #563-7565 Eu Rd.,gegeshawnte@gmail.com,GEGE SHAWNTE,64907291,Lagos,2578,good,Mr.
188,No,Lagos,3/20/1970,0,AGRON NEVENA,Male,11/22/2010,Yes,Married,57673,Caleb University- Lagos,2746734,Ap #600-9268 Aliquam St.,agronnevena@gmail.com,AGRON NEVENA,42684401,Lagos,2759,excellent,Mr.
189,No,Lagos,2/9/1996,1,ANSON HIKMET,Male,1/20/2008,No,Married,82984,James Hope University- Lagos,4329157,Ap #592-270 Commodo St.,ansonhikmet@gmail.com,ANSON HIKMET,87580580,Lagos,4629,very good,Mr.
190,No,Lagos,2/12/1962,1,GELISA SHAWNTIA,Female,5/8/2020,No,Single,75787,Lagos State University of Science and Technology (LASUSTECH),2978737,"Ap #998-3606 Placerat, Avenue",gelisashawntia@gmail.com,GELISA SHAWNTIA,79651261,Lagos,2900,good,Ms.
191,No,Lagos,11/15/1984,0,AGUSTINA NEVILLE,Male,11/16/2014,No,Married,40534,James Hope University- Lagos,1011960,Ap #382-1771 Dictum Road,agustinaneville@gmail.com,AGUSTINA NEVILLE,61758084,Lagos,6968,very good,Mr.
192,No,Lagos,3/2/1967,0,ANTARES HILARIE,Male,3/2/2005,No,Married,76270,James Hope University- Lagos,4693883,644-2340 Mauris Street,antareshilarie@gmail.com,ANTARES HILARIE,58302570,Lagos,5319,good,Mr.
193,No,Lagos,8/6/1965,0,GEM SHAYA,Male,4/2/2020,Yes,Single,80408,University of Lagos,2036268,Ap #833-7887 Pede. St.,gemshaya@gmail.com,GEM SHAYA,14294559,Lagos,6990,excellent,Mr.
194,No,Lagos,12/5/1987,2,AGYEI NEW,Male,11/20/2014,Yes,Single,59414,University of Lagos,2683115,997-4237 Ullamcorper. Rd.,agyeinew@gmail.com,AGYEI NEW,22899164,Lagos,6473,fair,Mr.
195,No,Lagos,11/22/1964,1,ANTE HILDA,Female,12/11/2007,Yes,Single,54507,Caleb University- Lagos,4985223,Ap #819-8703 Egestas. St.,antehilda@gmail.com,ANTE HILDA,84149262,Lagos,2537,good,Ms.
196,No,Lagos,5/4/1982,1,GEMMA SHAYLA,Female,10/24/2018,No,Single,21832,Caleb University- Lagos,3636037,"Ap #117-3802 A, Av.",gemmashayla@gmail.com,GEMMA SHAYLA,10530742,Lagos,4996,fair,Ms.
197,No,Lagos,6/22/1993,0,AHAD NEWMONEY,Female,10/13/2017,No,Married,29144,Pan-Atlantic University-Lagos,1431724,Ap #130-5959 Fusce St.,ahadnewmoney@gmail.com,AHAD NEWMONEY,7402455,Lagos,4667,fair,Ms.
198,No,Lagos,4/12/1968,0,ANTHE HILDY,Female,2/19/2015,Yes,Single,33866,University of Lagos,4227001,Ap #266-429 Velit St.,anthehildy@gmail.com,ANTHE HILDY,80288642,Lagos,5291,fair,Ms.
199,No,Lagos,6/22/1980,2,ACRA SMITH,Female,9/30/2015,Yes,Married,60168,Lagos State University of Science and Technology (LASUSTECH),2724065,315-4283 Nam Street,acrasmith@gmail.com,ACRA SMITH,10429063,Lagos,6966,fair,Ms.
200,No,Lagos,4/13/1995,0,ADOLPH NEILON,Female,1/1/2021,No,Married,74282,Caleb University- Lagos,3545071,921-1491 Nonummy Ave,adolphneilon@gmail.com,ADOLPH NEILON,4565084,Lagos,5866,good,Ms.
201,No,Lagos,11/23/1993,0,ANKI HENDRI,Male,12/23/2021,Yes,Married,42109,Pan-Atlantic University-Lagos,1652017,Ap #299-4324 Mauris Avenue,ankihendri@gmail.com,ANKI HENDRI,48540081,Lagos,4312,good,Mr.
202,No,Lagos,2/27/1973,2,GARBO SHARRON,Male,12/22/2008,Yes,Married,42029,Caleb University- Lagos,4700875,"P.O. Box 913, 6976 Magnis Rd.",garbosharron@gmail.com,GARBO SHARRON,5838268,Lagos,2530,good,Mr.
203,No,Lagos,12/21/1980,2,ADONAI NEIVA,Male,8/3/2015,Yes,Single,64324,Pan-Atlantic University-Lagos,2526297,6676 Tristique Street,adonaineiva@gmail.com,ADONAI NEIVA,41350339,Lagos,6446,good,Mr.
204,No,Lagos,5/22/1962,0,ANKUR HENDRY,Female,10/21/2008,No,Single,78134,University of Lagos,1291792,896-4316 Tempus Rd.,ankurhendry@gmail.com,ANKUR HENDRY,87637460,Lagos,5862,excellent,Ms.
205,No,Lagos,6/17/1990,2,GARDENIA SHARUKH,Male,1/16/2019,No,Single,68419,James Hope University- Lagos,1120264,967-2326 Orci Rd.,gardeniasharukh@gmail.com,GARDENIA SHARUKH,23202779,Lagos,3103,fair,Mr.
206,No,Lagos,4/12/1993,2,ADONIJAH NEKA,Male,5/11/2009,Yes,Single,80762,James Hope University- Lagos,2014166,351-6015 Metus Rd.,adonijahneka@gmail.com,ADONIJAH NEKA,49066558,Lagos,2185,fair,Mr.
207,No,Lagos,5/6/1981,2,ANN HENGKY,Male,4/24/2005,Yes,Single,75951,National Open University of Nigeria- Lagos,3122264,"Ap #635-6634 Pede, Av.",annhengky@gmail.com,ANN HENGKY,38505496,Lagos,3748,good,Mr.
208,No,Lagos,3/19/1977,0,GARDY SHASHA,Male,10/3/2021,Yes,Single,43084,Caleb University- Lagos,4799385,1677 Enim Rd.,gardyshasha@gmail.com,GARDY SHASHA,33581377,Lagos,2456,very good,Mr.
209,No,Lagos,2/21/1965,0,ADORA NEKIA,Male,6/5/2020,No,Single,28651,National Open University of Nigeria- Lagos,3411132,"P.O. Box 935, 7661 Morbi Street",adoranekia@gmail.com,ADORA NEKIA,12276501,Lagos,3564,excellent,Mr.
210,No,Lagos,6/30/1962,1,ANNABELLA HENNESSEY,Female,11/18/2010,No,Married,38627,Lagos State University of Science and Technology (LASUSTECH),1712712,569-7960 Integer Ave,annabellahennessey@gmail.com,ANNABELLA HENNESSEY,20482570,Lagos,3073,good,Ms.
211,No,Lagos,4/1/1990,1,GARETH SHASHWAT,Female,4/8/2021,Yes,Married,25277,National Open University of Nigeria- Lagos,1623530,615-5113 Cum St.,garethshashwat@gmail.com,GARETH SHASHWAT,24097634,Lagos,6463,good,Ms.
212,No,Lagos,6/27/1979,2,ADREAN NEKO,Male,3/7/2016,No,Married,21725,Caleb University- Lagos,2810077,618-3434 Sagittis Av.,adreanneko@gmail.com,ADREAN NEKO,35806999,Lagos,2183,good,Mr.
213,No,Lagos,7/23/1989,2,ANNA-KAY HENNY,Female,2/28/2019,No,Single,65512,Pan-Atlantic University-Lagos,2883297,405-9892 Ultrices Rd.,anna-kayhenny@gmail.com,ANNA-KAY HENNY,27521381,Lagos,1527,fair,Ms.
214,No,Lagos,1/25/1976,1,GARGI SHATARA,Male,9/21/2010,No,Married,52310,Pan-Atlantic University-Lagos,3354460,Ap #561-9293 Sociis St.,gargishatara@gmail.com,GARGI SHATARA,82940178,Lagos,5882,good,Mr.
