patient_id,address,allergies,blood_type,closest_hospital,community,country,date_of_birth,disabilities,first_name,gender,has_children,has_dependent,height_cm,language,marital_status,medical_problems,national_id_number,num_of_children,num_of_dependents,post_code,preferred_language,purpose_of_visit,state,sur_name,title,user_id,weight,hospital_id
111,405-9892 Ultrices Rd.,NA,B-,First Consultant Hospital,rural,nigeria,2/10/2006,alzheimer's,NELINI,Female,Yes,No,173,english,Single,drug addiction,5779970715,1,1,57620,english,consultation,Lagos,GAUTHAM,Ms.,111,90,1
112,Ap #561-9293 Sociis St.,flowers,B+,National Orthopaedic Hospital,rural,nigeria,1/29/2003,arthritis,HENY,Male,Yes,Yes,223,english,Married,physical injury,6909849363,4,1,30632,english,consultation,Lagos,AFIA,Mr.,112,60,1
113,"Ap #381-3175 Sed, Street",NA,AB+,Maryiam Ville Medical Center,rural,nigeria,12/24/2006,fibromas,SHATIK,Female,No,Yes,143,english,Married,none,4435191291,3,1,16356,english,medical examination,Lagos,ANNETTE,Mrs.,113,77,1
114,"Ap #230-5566 Amet, St.",nuts,O-,Isolo General Hospital,rural,nigeria,7/21/2000,NA,NELL,Female,No,Yes,138,english,Divorced,physical injury,4125652329,1,1,6430,english,medical examination,Lagos,GAVO,Ms.,114,65,1
115,"P.O. Box 967, 4885 Nunc Avenue",nuts,A-,Ave Maria Hospital,rural,nigeria,8/15/1986,arthritis,HERA,Female,No,No,211,english,Divorced,physical injury,6181198648,3,1,45392,english,consultation,Lagos,AFONSO,Ms.,115,78,1
116,Ap #266-429 Velit St.,nuts,O-,Isolo General Hospital,rural,nigeria,11/13/1989,cyclothimic disorder,SHATISHA,Female,Yes,Yes,198,english,Married,none,3785664380,2,4,5702,english,consultation,Lagos,ANNICA,Mrs.,116,80,1
117,315-4283 Nam Street,NA,O-,Ifako-Ijaiye General Hospital,suburban,nigeria,11/8/1987,alzheimer's,NELLI,Male,No,No,166,english,Divorced,overwight,4669746705,1,2,57804,english,reserved consultation,Lagos,GAY,Mr.,117,98,1
118,921-1491 Nonummy Ave,NA,AB-,Badagry General Hospital,urban,nigeria,10/11/1990,none,HERARD,Male,Yes,No,135,english,Married,physical injury,5185119714,1,2,49799,english,consultation,Lagos,AFRIKAN,Mr.,118,81,1
119,Ap #299-4324 Mauris Avenue,nuts,AB-,Badagry General Hospital,suburban,nigeria,12/17/1989,none,SHAUGHN,Female,No,No,201,english,Single,NA,7690701857,1,0,55221,english,consultation,Lagos,ANNIKA,Ms.,119,92,1
120,"P.O. Box 913, 6976 Magnis Rd.",NA,O-,St. Nicholas Hospital,suburban,nigeria,9/7/2006,delirium,NELLY,Female,No,Yes,202,english,Married,physical injury,5779318641,1,2,38572,english,consultation,Lagos,GAYATRI,Mrs.,120,90,1
121,6676 Tristique Street,NA,AB-,Creek Hospital,suburban,nigeria,11/22/1990,none,HERBIE,Male,Yes,No,242,english,Married,underweight,3377273773,2,2,28015,english,consultation,Lagos,AFRON,Mr.,121,96,1
122,896-4316 Tempus Rd.,NA,B+,Reddington Hospital,suburban,nigeria,6/12/2003,NA,SHAUNA,Female,Yes,No,178,english,Divorced,underweight,3497825689,4,3,35775,english,consultation,Lagos,ANNISIA,Ms.,122,96,1
123,967-2326 Orci Rd.,pollen,O-,Isolo General Hospital,rural,nigeria,12/1/1982,fibromas,NELSI,Male,Yes,No,181,english,Divorced,drug addiction,6082695811,4,2,27556,english,consultation,Lagos,GAYLORD,Mr.,123,85,1
124,351-6015 Metus Rd.,nuts,AB-,Duchess International Hospital,suburban,nigeria,12/15/1997,none,HERI,Male,Yes,No,135,english,Divorced,NA,4474933365,2,4,54477,english,medical examination,Lagos,AFSER,Mr.,124,62,1
125,"Ap #635-6634 Pede, Av.",flowers,B+,Ifako-Ijaiye General Hospital,urban,nigeria,6/30/1985,cyclothimic disorder,SHAUNDA,Female,Yes,Yes,196,english,Married,none,5903581614,3,1,28669,english,consultation,Lagos,ANN-MARIE,Mrs.,125,83,1
126,1677 Enim Rd.,NA,O+,Ikorodu General Hospital,rural,nigeria,4/26/1988,NA,NELSY,Male,Yes,Yes,149,english,Divorced,underweight,3705323074,3,3,53422,english,reserved consultation,Lagos,GAZA,Mr.,126,94,1
127,"P.O. Box 935, 7661 Morbi Street",nuts,O-,Krown Hospital,rural,nigeria,12/22/2004,NA,HERMAN,Male,Yes,Yes,145,english,Single,underweight,6574035144,1,1,50005,english,consultation,Lagos,AFSHIN,Mr.,127,91,1
128,569-7960 Integer Ave,nuts,A-,Blue Cross Hospital,rural,nigeria,4/14/2000,scoliosis,SHAUNDRA,Female,Yes,Yes,140,english,Single,underweight,6799646979,0,0,49125,english,medical examination,Lagos,ANOOP,Ms.,128,74,1
129,615-5113 Cum St.,nuts,B-,Blue Cross Hospital,suburban,nigeria,6/13/2000,none,NEMA,Male,No,No,207,english,Married,none,5693717027,3,1,53343,english,medical examination,Lagos,GAZMIR,Mr.,129,83,1
130,618-3434 Sagittis Av.,NA,O-,Adefemi Hospital,rural,nigeria,1/17/2002,none,HERMES,Male,No,No,155,english,Single,overwight,6917864115,0,0,43739,english,medical examination,Lagos,AFZAL,Mr.,130,61,1
131,405-9892 Ultrices Rd.,NA,A-,National Orthopaedic Hospital,rural,nigeria,6/22/1990,ruptured discs,SHAUNELL,Female,Yes,Yes,234,english,Divorced,NA,5568805472,2,2,46460,english,medical examination,Lagos,ANOUCK,Ms.,131,66,1
132,Ap #561-9293 Sociis St.,NA,A-,Isolo General Hospital,urban,nigeria,10/7/2002,NA,NENA,Male,Yes,No,235,english,Married,overwight,7401885621,2,2,35119,english,medical examination,Lagos,GE,Mr.,132,84,1
133,"Ap #381-3175 Sed, Street",NA,B+,Duchess International Hospital,urban,nigeria,6/18/2007,ruptured discs,HERMINIO,Male,Yes,No,196,english,Married,none,4716052207,4,2,38875,english,consultation,Lagos,AGAM,Mr.,133,68,1
134,"Ap #230-5566 Amet, St.",NA,AB-,Duchess International Hospital,urban,nigeria,2/17/2008,ruptured discs,SHAUNETTE,Female,No,Yes,253,english,Single,physical injury,6451407349,1,0,11010,english,medical examination,Lagos,ANOWAR,Ms.,134,101,1
135,"P.O. Box 967, 4885 Nunc Avenue",pollen,AB+,Maryiam Ville Medical Center,suburban,nigeria,9/30/1985,delirium,NENETTE,Female,No,Yes,243,english,Divorced,physical injury,5601358168,4,1,18684,english,medical examination,Lagos,GEANINE,Ms.,135,68,1
136,Ap #208-168 Lorem. Rd.,pollen,AB-,St. Nicholas Hospital,rural,nigeria,1/5/1997,arthritis,HERNANDEZ,Female,Yes,No,160,english,Married,NA,6058166283,1,3,24164,english,consultation,Lagos,AGATHA,Mrs.,136,71,1
137,"P.O. Box 181, 833 Pede. Ave",pollen,O-,First Consultant Hospital,rural,nigeria,4/4/1983,fibromas,SHAUNTA,Female,Yes,No,259,english,Divorced,none,4409736759,1,2,15638,english,reserved consultation,Lagos,ANSAR,Ms.,137,61,1
138,Ap #131-8580 Morbi Avenue,NA,A+,Isalu Hospitals,suburban,nigeria,12/19/2007,amnesia,NEO,Female,Yes,Yes,259,english,Single,not immunized,6492220324,0,0,47253,english,consultation,Lagos,GEDDES,Ms.,138,94,1
139,"P.O. Box 564, 3418 Hendrerit Road",NA,B+,Reddington Hospital,urban,nigeria,12/29/1989,amnesia,HERO,Male,Yes,No,147,english,Married,none,4111518024,3,4,38011,english,medical examination,Lagos,AGGREY,Mr.,139,86,1
140,Ap #563-7565 Eu Rd.,flowers,A-,Duchess International Hospital,urban,nigeria,12/4/1986,none,SHAUNTE,Male,No,No,197,english,Single,physical injury,4837339076,0,0,44295,english,consultation,Lagos,ANSELM,Mr.,140,89,1
141,Ap #600-9268 Aliquam St.,flowers,AB-,Mercy Stripes Specialist Hospital,suburban,nigeria,3/14/2010,atherosclerosis,NEPHI,Female,No,Yes,231,english,Single,none,7719338427,1,0,17568,english,consultation,Lagos,GEENA,Ms.,141,82,1
142,Ap #592-270 Commodo St.,flowers,A-,Isalu Hospitals,urban,nigeria,5/16/2001,alzheimer's,HERRY,Female,No,No,169,english,Single,overwight,4660632002,0,1,55128,english,medical examination,Lagos,AGNE,Ms.,142,85,1
143,"Ap #998-3606 Placerat, Avenue",dust,O+,Creek Hospital,suburban,nigeria,2/1/1994,scoliosis,SHAUNTELL,Female,Yes,No,218,english,Divorced,NA,3760162199,1,4,38584,english,reserved consultation,Lagos,ANSHU,Ms.,143,63,1
144,Ap #382-1771 Dictum Road,nuts,AB-,Mercy Stripes Specialist Hospital,rural,nigeria,2/22/2006,atherosclerosis,NEREYDA,Male,Yes,No,192,english,Single,overwight,7447265103,0,0,20677,english,reserved consultation,Lagos,GEETHA,Mr.,144,62,1
145,644-2340 Mauris Street,pollen,A-,National Orthopaedic Hospital,suburban,nigeria,3/8/2012,none,HERSHEL,Female,Yes,Yes,134,english,Married,mental issue,3821952372,4,3,4729,english,consultation,Lagos,AGNÃˆS,Mrs.,145,76,1
146,Ap #833-7887 Pede. St.,nuts,A-,First Consultant Hospital,rural,nigeria,12/20/2002,atherosclerosis,SHAVA,Female,Yes,Yes,142,english,Single,mental issue,4771794432,1,0,33644,english,consultation,Lagos,ANSIL,Ms.,146,90,1
147,997-4237 Ullamcorper. Rd.,nuts,A-,Blue Cross Hospital,rural,nigeria,12/23/1991,none,NERISSA,Female,No,No,183,english,Divorced,overwight,5783072746,2,3,21964,english,medical examination,Lagos,GEGE,Ms.,147,95,1
148,Ap #819-8703 Egestas. St.,NA,O-,Mercy Stripes Specialist Hospital,urban,nigeria,9/9/2007,atherosclerosis,HERSON,Female,No,Yes,195,english,Single,physical injury,4359518336,1,1,26635,english,medical examination,Lagos,AGRON,Ms.,148,66,1
149,"Ap #117-3802 A, Av.",dust,AB+,National Orthopaedic Hospital,rural,nigeria,3/22/2005,ruptured discs,SHAVAUGHN,Male,Yes,Yes,240,english,Single,none,3827305084,1,1,35843,english,medical examination,Lagos,ANSON,Mr.,149,75,1
150,Ap #130-5959 Fusce St.,dust,AB-,Krown Hospital,rural,nigeria,12/24/1987,NA,NERO,Male,Yes,Yes,236,english,Married,not immunized,4718427917,2,1,49144,english,reserved consultation,Lagos,ANNICA,Mr.,150,86,1
151,618-3434 Sagittis Av.,dust,O+,Ikorodu General Hospital,rural,nigeria,4/30/1983,atherosclerosis,HERU,Male,Yes,Yes,163,english,Single,not immunized,6931260219,0,0,20600,english,consultation,Lagos,GRAY,Mr.,151,94,1
152,405-9892 Ultrices Rd.,NA,A+,Badagry General Hospital,urban,nigeria,5/10/1987,NA,SHAVON,Female,No,No,163,english,Married,physical injury,5068562152,1,3,20747,english,consultation,Lagos,AFRIKAN,Mrs.,152,76,1
153,Ap #561-9293 Sociis St.,NA,A+,Blue Cross Hospital,urban,nigeria,8/1/1985,atherosclerosis,NERY,Female,Yes,Yes,150,english,Divorced,mental issue,6088792927,2,3,25430,english,medical examination,Lagos,ANNIKA,Ms.,153,92,1
154,"Ap #381-3175 Sed, Street",dust,AB+,St. Nicholas Hospital,rural,nigeria,4/16/1995,alzheimer's,HERY,Female,Yes,Yes,156,english,Married,NA,7729408394,4,2,5253,english,reserved consultation,Lagos,GAYATRI,Mrs.,154,89,1
155,"Ap #230-5566 Amet, St.",pollen,O-,Mercy Stripes Specialist Hospital,rural,nigeria,3/25/1985,delirium,SHAVONNE,Female,Yes,No,142,english,Single,NA,5429845150,0,0,9810,english,consultation,Lagos,AFRON,Ms.,155,78,1
156,"P.O. Box 967, 4885 Nunc Avenue",pollen,AB+,Lagoon Hospitals,urban,nigeria,5/16/1995,amnesia,NESHA,Male,No,Yes,146,english,Married,NA,3858239580,3,2,31279,english,consultation,Lagos,ANNISIA,Mr.,156,63,1
157,Ap #266-429 Velit St.,flowers,O-,Lagoon Hospitals,suburban,nigeria,6/29/2003,atherosclerosis,HESKY,Female,Yes,Yes,206,english,Divorced,none,7337910629,3,3,35618,english,consultation,Lagos,GAYLORD,Ms.,157,92,1
158,315-4283 Nam Street,pollen,A-,Adefemi Hospital,urban,nigeria,5/13/2005,ruptured discs,SHAWANDA,Male,Yes,No,206,english,Divorced,mental issue,6803651316,4,1,55779,english,consultation,Lagos,AFSER,Mr.,158,79,1
159,921-1491 Nonummy Ave,flowers,O-,Ave Maria Hospital,urban,nigeria,7/24/2010,cyclothimic disorder,NESRIN,Male,Yes,Yes,192,english,Married,not immunized,3434504926,2,4,22160,english,medical examination,Lagos,ANN-MARIE,Mr.,159,72,1
160,Ap #299-4324 Mauris Avenue,dust,B+,Krown Hospital,suburban,nigeria,6/20/1991,delirium,HEZEKIAH,Female,No,Yes,250,english,Divorced,NA,7439564509,2,3,41468,english,consultation,Lagos,GAZA,Ms.,160,78,1
161,"P.O. Box 913, 6976 Magnis Rd.",NA,B-,Mercy Stripes Specialist Hospital,urban,nigeria,11/22/2002,atherosclerosis,SHAWNA,Male,No,No,160,english,Married,underweight,3583722639,2,2,43032,english,medical examination,Lagos,AFSHIN,Mr.,161,62,1
162,6676 Tristique Street,pollen,AB-,Creek Hospital,suburban,nigeria,9/14/1986,arthritis,NESSIE,Female,No,No,159,english,Married,not immunized,5263879506,1,3,51356,english,medical examination,Lagos,ANOOP,Mrs.,162,88,1
163,896-4316 Tempus Rd.,dust,AB+,Creek Hospital,rural,nigeria,12/19/2000,arthritis,HIBA,Female,Yes,No,175,english,Married,none,5177387764,4,3,39349,english,consultation,Lagos,GAZMIR,Mrs.,163,62,1
164,967-2326 Orci Rd.,NA,A+,Badagry General Hospital,rural,nigeria,6/29/1998,cyclothimic disorder,SHAWNDA,Female,No,Yes,144,english,Married,overwight,5944160673,3,2,22907,english,consultation,Lagos,AFZAL,Mrs.,164,101,1
165,351-6015 Metus Rd.,NA,AB-,Isolo General Hospital,rural,nigeria,2/8/1984,none,NET,Female,No,Yes,240,english,Divorced,NA,4839613806,2,4,10367,english,reserved consultation,Lagos,ANOUCK,Ms.,165,77,1
166,"Ap #635-6634 Pede, Av.",NA,AB+,Krown Hospital,urban,nigeria,7/28/2006,ruptured discs,HIDALGO,Male,No,Yes,217,english,Married,physical injury,6371027892,1,3,11907,english,reserved consultation,Lagos,GE,Mr.,166,99,1
167,1677 Enim Rd.,pollen,A+,Ikorodu General Hospital,urban,nigeria,9/8/1990,cyclothimic disorder,SHAWNEEN,Female,No,No,225,english,Divorced,overwight,5308859054,3,2,25085,english,reserved consultation,Lagos,AGAM,Ms.,167,63,1
168,"P.O. Box 935, 7661 Morbi Street",flowers,O-,Ifako-Ijaiye General Hospital,rural,nigeria,5/12/1997,delirium,NETFA,Male,No,Yes,207,english,Divorced,drug addiction,6818345057,1,4,20541,english,medical examination,Lagos,ANOWAR,Mr.,168,100,1
169,569-7960 Integer Ave,NA,A-,First Consultant Hospital,urban,nigeria,11/3/2012,atherosclerosis,HIDEOUT,Male,No,Yes,211,english,Single,mental issue,3395230466,0,0,15579,english,reserved consultation,Lagos,GEANINE,Mr.,169,68,1
170,615-5113 Cum St.,flowers,A-,Blue Cross Hospital,suburban,nigeria,4/10/1993,alzheimer's,SHAWNETTE,Female,No,No,214,english,Single,mental issue,5068062895,1,1,44200,english,medical examination,Lagos,AGATHA,Ms.,170,96,1
171,618-3434 Sagittis Av.,flowers,O+,First Consultant Hospital,urban,nigeria,4/14/1988,arthritis,NEUMAN,Female,Yes,Yes,164,english,Single,mental issue,6182311010,1,1,38607,english,consultation,Lagos,ANSAR,Ms.,171,74,1
172,405-9892 Ultrices Rd.,NA,B-,Duchess International Hospital,urban,nigeria,8/11/2001,NA,HIEU,Male,No,No,225,english,Married,overwight,3956313971,3,1,30571,english,consultation,Lagos,GEDDES,Mr.,172,78,1
173,Ap #561-9293 Sociis St.,pollen,A+,Maryiam Ville Medical Center,suburban,nigeria,11/10/1984,amnesia,SHAWNTA,Male,No,No,199,english,Single,underweight,7766411251,1,0,35518,english,consultation,Lagos,AGGREY,Mr.,173,68,1
174,"Ap #381-3175 Sed, Street",NA,A+,Ifako-Ijaiye General Hospital,urban,nigeria,5/31/2007,NA,NEVA,Female,Yes,No,178,english,Single,physical injury,6071189267,0,0,53569,english,medical examination,Lagos,ANSELM,Ms.,174,102,1
175,"Ap #230-5566 Amet, St.",nuts,O-,St. Nicholas Hospital,suburban,nigeria,10/9/1997,delirium,HIJIRI,Male,Yes,No,223,english,Divorced,none,4430316099,2,1,38177,english,consultation,Lagos,GEENA,Mr.,175,65,1
176,"P.O. Box 967, 4885 Nunc Avenue",NA,B+,Isalu Hospitals,urban,nigeria,9/13/1998,ruptured discs,SHAWNTE,Female,Yes,Yes,140,english,Single,drug addiction,7012186738,1,0,18096,english,consultation,Lagos,AGNE,Ms.,176,77,1
177,Ap #266-429 Velit St.,NA,B-,Isalu Hospitals,urban,nigeria,12/9/2001,atherosclerosis,NEVENA,Female,No,Yes,172,english,Married,not immunized,5851961357,4,4,27271,english,medical examination,Lagos,ANSHU,Mrs.,177,95,1
178,315-4283 Nam Street,flowers,B-,St. Nicholas Hospital,urban,nigeria,12/12/1985,delirium,HIKMET,Female,Yes,Yes,237,english,Divorced,underweight,3992487727,1,3,11426,english,medical examination,Lagos,GEETHA,Ms.,178,67,1
179,921-1491 Nonummy Ave,dust,O-,Isolo General Hospital,rural,nigeria,9/12/1984,delirium,SHAWNTIA,Male,Yes,Yes,139,english,Married,drug addiction,4535529435,2,3,28343,english,consultation,Lagos,AGNÃˆS,Mr.,179,68,1
180,Ap #299-4324 Mauris Avenue,dust,B+,Mercy Stripes Specialist Hospital,suburban,nigeria,4/7/2006,delirium,NEVILLE,Male,Yes,Yes,227,english,Married,physical injury,7173226381,4,4,26135,english,medical examination,Lagos,ANSIL,Mr.,180,98,1
181,"P.O. Box 913, 6976 Magnis Rd.",flowers,B-,Reddington Hospital,suburban,nigeria,9/4/1992,arthritis,HILARIE,Female,No,No,138,english,Divorced,mental issue,3345685760,3,2,47554,english,medical examination,Lagos,GEGE,Ms.,181,88,1
182,6676 Tristique Street,flowers,O+,Krown Hospital,suburban,nigeria,3/30/1998,cyclothimic disorder,SHAYA,Male,Yes,No,156,english,Divorced,underweight,4549067917,3,1,7618,english,consultation,Lagos,AGRON,Mr.,182,75,1
183,896-4316 Tempus Rd.,NA,B+,Duchess International Hospital,urban,nigeria,8/19/2007,none,NEW,Male,No,No,178,english,Single,NA,4551248434,1,1,5693,english,consultation,Lagos,ANSON,Mr.,183,76,1
184,967-2326 Orci Rd.,pollen,B+,Ave Maria Hospital,suburban,nigeria,1/22/1994,none,HILDA,Male,No,Yes,231,english,Divorced,drug addiction,5615388206,1,2,45760,english,reserved consultation,Lagos,GELISA,Mr.,184,61,1
185,351-6015 Metus Rd.,flowers,AB-,Creek Hospital,urban,nigeria,11/12/1983,amnesia,SHAYLA,Male,Yes,Yes,254,english,Single,NA,7775022428,0,0,30809,english,reserved consultation,Lagos,AGUSTINA,Mr.,185,81,1
186,"Ap #635-6634 Pede, Av.",dust,AB-,Ifako-Ijaiye General Hospital,suburban,nigeria,1/25/2003,NA,NEWMONEY,Male,Yes,Yes,237,english,Married,NA,4198440818,4,3,57809,english,consultation,Lagos,ANTARES,Mr.,186,85,1
187,1677 Enim Rd.,nuts,AB-,Duchess International Hospital,urban,nigeria,4/9/2008,cyclothimic disorder,HILDY,Male,No,No,208,english,Single,underweight,6298854040,1,1,9015,english,consultation,Lagos,GEM,Mr.,187,81,1
188,"P.O. Box 935, 7661 Morbi Street",pollen,A-,Duchess International Hospital,rural,nigeria,7/5/1989,ruptured discs,SENEL,Male,Yes,Yes,226,english,Married,mental issue,3736442894,4,2,55176,english,medical examination,Lagos,AGYEI,Mr.,188,64,1
189,569-7960 Integer Ave,NA,AB+,First Consultant Hospital,urban,nigeria,3/7/2004,scoliosis,ANNELISE,Female,No,Yes,247,english,Divorced,NA,3403693568,1,4,6876,english,consultation,Lagos,ANTE,Ms.,189,88,1
190,615-5113 Cum St.,nuts,B+,Ave Maria Hospital,rural,nigeria,3/20/2007,ruptured discs,GATA,Male,No,Yes,250,english,Married,NA,6885492506,1,1,44075,english,consultation,Lagos,GEMMA,Mr.,190,66,1
191,618-3434 Sagittis Av.,NA,B-,Ifako-Ijaiye General Hospital,suburban,nigeria,9/1/1983,atherosclerosis,AEISHA,Female,No,Yes,191,english,Single,mental issue,5330924831,1,1,32434,english,consultation,Lagos,AHAD,Ms.,191,102,1
192,405-9892 Ultrices Rd.,nuts,A+,Creek Hospital,urban,nigeria,3/12/1982,amnesia,ANNEMARIE,Male,No,No,162,english,Divorced,NA,7121333525,4,4,41875,english,consultation,Lagos,ANTHE,Mr.,192,64,1
193,Ap #561-9293 Sociis St.,nuts,B-,Mercy Stripes Specialist Hospital,rural,nigeria,11/19/1986,NA,GATO,Female,Yes,No,236,english,Married,NA,3941293317,4,1,12235,english,consultation,Lagos,SHASHA,Mrs.,193,82,1
194,"Ap #381-3175 Sed, Street",NA,O-,Ifako-Ijaiye General Hospital,urban,nigeria,11/21/2002,arthritis,AESHA,Male,Yes,No,158,english,Single,none,7476905243,1,0,36077,english,consultation,Lagos,NEKIA,Mr.,194,70,1
195,"Ap #230-5566 Amet, St.",flowers,A-,Ifako-Ijaiye General Hospital,suburban,nigeria,8/19/2012,NA,ANNEMIEKE,Female,No,Yes,223,english,Single,physical injury,5625106100,1,1,40323,english,consultation,Lagos,HENNESSEY,Ms.,195,99,1
196,"P.O. Box 967, 4885 Nunc Avenue",dust,B+,First Consultant Hospital,rural,nigeria,11/13/1985,ruptured discs,GAURAV,Female,Yes,Yes,145,english,Divorced,overwight,3688868941,4,4,56136,english,medical examination,Lagos,SHASHWAT,Ms.,196,97,1
197,Ap #208-168 Lorem. Rd.,dust,O+,Badagry General Hospital,suburban,nigeria,2/24/1987,fibromas,AFEISHA,Female,No,No,143,english,Divorced,NA,4280305108,2,3,5676,english,consultation,Lagos,NEKO,Ms.,197,102,1
198,"P.O. Box 181, 833 Pede. Ave",nuts,A+,Duchess International Hospital,suburban,nigeria,3/7/2002,cyclothimic disorder,ANNE-SOPHIE,Female,Yes,Yes,210,english,Married,NA,7058996718,2,4,26830,english,consultation,Lagos,HENNY,Mrs.,198,62,1
199,Ap #131-8580 Morbi Avenue,nuts,O-,Mercy Stripes Specialist Hospital,suburban,nigeria,4/25/1998,none,GAUTHAM,Female,No,Yes,151,english,Divorced,overwight,7189750964,2,2,12156,english,reserved consultation,Lagos,SHATARA,Ms.,199,80,1
200,"P.O. Box 564, 3418 Hendrerit Road",NA,O-,Mercy Stripes Specialist Hospital,rural,nigeria,9/9/1984,none,AFIA,Female,No,No,234,english,Divorced,none,5410806271,2,2,20862,english,consultation,Lagos,NELANI,Ms.,200,99,1
201,Ap #563-7565 Eu Rd.,NA,AB-,Isolo General Hospital,suburban,nigeria,12/30/1988,scoliosis,ANNETTE,Male,Yes,No,189,english,Single,none,3982336139,1,1,27922,english,consultation,Lagos,HENRIETTA,Mr.,201,82,1
202,Ap #600-9268 Aliquam St.,pollen,A+,Ave Maria Hospital,urban,nigeria,7/4/2009,alzheimer's,GAVO,Male,No,Yes,214,english,Married,drug addiction,3264854442,3,2,15527,english,medical examination,Lagos,SHATEEK,Mr.,202,68,1
203,Ap #592-270 Commodo St.,NA,A+,Ave Maria Hospital,rural,nigeria,7/31/1999,fibromas,AFONSO,Female,Yes,Yes,227,english,Married,physical injury,7068639799,3,3,20488,english,consultation,Lagos,NELI,Mrs.,203,101,1
204,"Ap #998-3606 Placerat, Avenue",nuts,B+,Duchess International Hospital,rural,nigeria,11/7/2009,arthritis,ANNICA,Female,Yes,No,142,english,Divorced,underweight,3292093750,3,3,31686,english,consultation,Lagos,HENRIQUE,Ms.,204,92,1
205,Ap #382-1771 Dictum Road,NA,A-,Blue Cross Hospital,rural,nigeria,11/23/1988,fibromas,GAY,Female,Yes,No,225,english,Single,none,7217462252,1,0,26885,english,reserved consultation,Lagos,SHATERA,Ms.,205,100,1
206,644-2340 Mauris Street,nuts,B+,Badagry General Hospital,urban,nigeria,5/13/2009,arthritis,AFRIKAN,Female,No,Yes,186,english,Divorced,none,4663179300,3,4,35597,english,consultation,Lagos,NELINI,Ms.,206,61,1
207,Ap #833-7887 Pede. St.,pollen,AB-,Blue Cross Hospital,rural,nigeria,5/8/1996,arthritis,ANNIKA,Female,No,No,242,english,Married,NA,6479630846,3,4,15218,english,consultation,Lagos,HENY,Mrs.,207,61,1
208,997-4237 Ullamcorper. Rd.,NA,O-,Isalu Hospitals,suburban,nigeria,9/24/1984,ruptured discs,GAYATRI,Male,No,No,192,english,Divorced,overwight,4982123153,1,2,47802,english,consultation,Lagos,SHATIK,Mr.,208,76,1
209,Ap #819-8703 Egestas. St.,flowers,A+,Isolo General Hospital,rural,nigeria,6/3/2008,fibromas,AFRON,Male,No,Yes,227,english,Single,drug addiction,5150412693,0,0,28184,english,medical examination,Lagos,NELL,Mr.,209,94,1
210,"Ap #117-3802 A, Av.",flowers,O-,Isolo General Hospital,rural,nigeria,2/19/2001,atherosclerosis,ANNISIA,Female,Yes,No,186,english,Single,NA,5692639782,0,1,8508,english,medical examination,Lagos,HERA,Ms.,210,89,1
211,Ap #130-5959 Fusce St.,pollen,A+,Adefemi Hospital,rural,nigeria,10/31/1992,atherosclerosis,GAYLORD,Female,Yes,No,259,english,Single,none,6115378557,0,0,11669,english,consultation,Lagos,SHATISHA,Ms.,211,63,1
212,Ap #266-429 Velit St.,pollen,AB-,Blue Cross Hospital,rural,nigeria,8/30/2002,alzheimer's,AFSER,Female,Yes,No,209,english,Single,NA,4127851297,1,1,50304,english,consultation,Lagos,NELLI,Ms.,212,75,1
213,315-4283 Nam Street,NA,AB-,National Orthopaedic Hospital,rural,nigeria,9/14/1988,NA,ANN-MARIE,Male,Yes,Yes,250,english,Married,mental issue,7512783155,2,4,50542,english,consultation,Lagos,HERARD,Mr.,213,100,1
214,921-1491 Nonummy Ave,flowers,AB-,Lagoon Hospitals,urban,nigeria,10/20/1982,scoliosis,GAZA,Male,No,No,135,english,Divorced,physical injury,7493277947,4,2,13580,english,reserved consultation,Lagos,SHAUGHN,Mr.,214,77,1
215,Ap #299-4324 Mauris Avenue,NA,B-,Krown Hospital,rural,nigeria,10/30/2003,none,AFSHIN,Male,No,Yes,151,english,Single,drug addiction,5148153592,0,1,46683,english,reserved consultation,Lagos,NELLY,Mr.,215,78,1
216,"P.O. Box 913, 6976 Magnis Rd.",pollen,O+,Reddington Hospital,urban,nigeria,7/20/1988,scoliosis,ANOOP,Female,No,Yes,243,english,Divorced,none,4665561435,2,4,28193,english,consultation,Lagos,HERBIE,Ms.,216,71,1
217,6676 Tristique Street,pollen,AB+,Adefemi Hospital,urban,nigeria,11/15/1989,amnesia,GAZMIR,Male,No,Yes,183,english,Single,none,4982588358,0,1,50114,english,medical examination,Lagos,SHAUNA,Mr.,217,61,1
218,896-4316 Tempus Rd.,flowers,AB-,Krown Hospital,urban,nigeria,7/21/1988,arthritis,AFZAL,Female,No,No,231,english,Divorced,NA,7103627539,2,3,14678,english,medical examination,Lagos,NELSI,Ms.,218,70,1
219,967-2326 Orci Rd.,pollen,O-,Ifako-Ijaiye General Hospital,urban,nigeria,6/5/1987,NA,ANOUCK,Male,No,No,169,english,Divorced,NA,4059161823,2,4,35498,english,consultation,Lagos,HERI,Mr.,219,102,1
220,351-6015 Metus Rd.,nuts,AB-,Ave Maria Hospital,rural,nigeria,1/27/2008,NA,GE,Female,No,No,232,english,Divorced,physical injury,3887659440,3,4,35179,english,reserved consultation,Lagos,SHAUNDA,Ms.,220,73,1
221,"Ap #635-6634 Pede, Av.",NA,AB-,Krown Hospital,rural,nigeria,3/8/2010,NA,AGAM,Male,No,Yes,230,english,Married,underweight,3499962523,1,4,39681,english,medical examination,Lagos,NELSY,Mr.,221,91,1
